Name,Link,Price
Hario V60 Measuring Scoop-White,https://prima-coffee.com/equipment/hario/m-12w-hario-sp,$5.00
Yama Bamboo Stir Stick for Siphon Brewing,https://prima-coffee.com/equipment/yama/es-1,$5.00
"Hario Coffee Brown Paper Filter Size 02 for V60 Brewer, 40 Count (Un-tabbed)",https://prima-coffee.com/equipment/hario/vcf-02-40m-hario-sp,$6.00
Hario Paper Siphon Filters - 100 Pack,https://prima-coffee.com/equipment/hario/cf-103e,$6.19
"Hario F-103S Filter for TCA, NXA, or SCA Series Syphons",https://prima-coffee.com/equipment/hario/f-103s-hario-sp,$6.99
1 oz. Coffee Scoop - 1 dozen,https://prima-coffee.com/equipment/rattleware/03717-rattl-sp,$6.99
"Yama Coffee Syphon / Siphon Vacuum Pot Filters, Set of 5",https://prima-coffee.com/equipment/yama/cp-1,$9.50
Hario V60 Coffee Dripper Size 01,https://prima-coffee.com/equipment/hario/v60-01,$10.00
Hario V60 Coffee Dripper Size 02,https://prima-coffee.com/equipment/hario/v60-02,$11.00
Hario Paper Filter Holder for Siphons - with 50 Filters,https://prima-coffee.com/equipment/hario/f-103mn,$11.00
Specialty Turkish Coffee Olivewood Stirring Paddle,https://prima-coffee.com/equipment/specialty-turkish-coffee/stc-paddle,$12.00
Able Heat Lid for Chemex Brewers,https://prima-coffee.com/equipment/able/heat-lid-black,$12.00
Kruve Coffee Brew Stick,https://prima-coffee.com/equipment/kruve-inc/kvq1019-kr-in-pp,$12.99
CoffeeSock Cloth Filter for Hario V60 02,https://prima-coffee.com/equipment/coffeesock/cs-v2,$13.99
"CoffeeSock Cloth Filter for Chemex 6, 8, and 10 Cup",https://prima-coffee.com/equipment/coffeesock/cs-x6,$13.99
Kruve Brewler,https://prima-coffee.com/equipment/kruve-inc/kvs2020-kr-in-sp,$14.99
Origami Resin Dripper Holder,https://prima-coffee.com/equipment/origami-japan/od-h-w-sl-po-sp,$15.00
Able DISK-Fine Filter for AeroPress,https://prima-coffee.com/equipment/able/disk-fine,$15.00
Third Wave Water TDS Meter,https://prima-coffee.com/equipment/third-wave-water/tds-th-wa-sp,$15.00
Able DISK Filter for AeroPress,https://prima-coffee.com/equipment/able/disk,$15.00
Hario Coffee Dripper V60 Size 03 Clear Plastic,https://prima-coffee.com/equipment/hario/vd-03t,$15.50
"Revolution Easy Steam Thermometer, 5"" Stem",https://prima-coffee.com/equipment/revolution/11160-revol-sp,$15.99
Hatfields London Nitrogen Coffee Cocktail Chargers for the NitroPress (Box of 10),https://prima-coffee.com/equipment/hatfields-london/hlc-0001-hatfi,$15.99
Sibarist FAST Filters for Hario V60 01/02,https://prima-coffee.com/equipment/sibarist/fastfilters-sibar-pp,$16.00
Sibarist FAST Filters for Kalita 185,https://prima-coffee.com/equipment/sibarist/fast-flat-sibar-pp,$16.00
